text,label,category,language,source,clean_text
Hanging out with my brother and his family,0,none,english,uci,hanging out with my brother and his family
Its sarcasm.. .nt scarcasim,0,none,english,uci,its sarcasm nt scarcasim
Wishing you a wonderful week.,0,none,english,uci,wishing you a wonderful week
"Ok da, i already planned. I wil pick you.",0,none,english,uci,ok da i already planned i wil pick you
aathi..where are you dear..,0,none,english,uci,aathi where are you dear
Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,1,general_spam,english,uci,moby pub quiz win a 100 high street prize if u know who the new duchess of cornwall will be txt her first name to 82277 unsub stop 1 50 sp arrow
Hello ji Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,hinglish,indian,hello ji congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",0,none,english,uci,moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night
Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx,0,none,english,uci,where wuld i be without my baby the thought alone mite break me and i don t wanna go crazy but everyboy needs his lady xxxxxxxx
I.ll hand her my phone to chat wit u,0,none,english,uci,i ll hand her my phone to chat wit u
How was txting and driving,0,none,english,uci,how was txting and driving
Dhyan se suniye Aapke Aadhaar se linked account par complaint mili hai.,1,police_digital_arrest,hinglish,indian,dhyan se suniye aapke aadhaar se linked account par complaint mili hai
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",1,general_spam,english,uci,do you ever notice that when you re driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac
Not planned yet :)going to join company on jan 5 only.don know what will happen after that.,0,none,english,uci,not planned yet going to join company on jan 5 only don know what will happen after that
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,general_spam,english,uci,congrats 1 year special cinema pass for 2 is yours call now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out
"Namaste sir Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,amazon,hinglish,indian,namaste sir aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,general_spam,english,uci,congrats nokia 3650 video camera phone is your call calls cost 150ppm ave call 3mins vary from mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
Dhyan se suniye Aapke naam par registered account illegal activities mein use hua hai.,1,police_digital_arrest,hinglish,indian,dhyan se suniye aapke naam par registered account illegal activities mein use hua hai
Cyber Crime Department se bol raha hoon. Cyber investigation team ko aapke number se suspicious activity mili hai.,1,police_digital_arrest,hinglish,indian,cyber crime department se bol raha hoon cyber investigation team ko aapke number se suspicious activity mili hai
Boo. How's things? I'm back at home and a little bored already :-(,0,none,english,uci,boo how s things i m back at home and a little bored already
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,general_spam,english,uci,your b4u voucher w c 27 03 is marsms log onto for discount credit to opt out reply stop customer care call
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,0,none,english,uci,if you were are free i can give otherwise nalla adi entey nattil kittum
Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,0,none,english,uci,lol no i just need to cash in my nitros hurry come on before i crash out
You have an important customer service announcement from PREMIER.,1,general_spam,english,uci,you have an important customer service announcement from premier
U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,0,none,english,uci,u really pig leh sleep so much my dad wake me up at 10 smth 2 eat lunch today
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,0,none,english,uci,hey don t forget you are mine for me my possession my property mmm childish smile
Delhi and chennai still silent.,0,none,english,uci,delhi and chennai still silent
Dont let studying stress you out. L8r.,0,none,english,uci,dont let studying stress you out l8r
"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",0,none,english,uci,an amazing quote sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear
Special Investigation Team se bol raha hoon. Police verification complete karna zaroori hai.,1,police_digital_arrest,hinglish,indian,special investigation team se bol raha hoon police verification complete karna zaroori hai
Pls call me da. What happen.,0,none,english,uci,pls call me da what happen
"Aight, you close by or still down around alex's place?",0,none,english,uci,aight you close by or still down around alex s place
"Aap sun rahe hain na? Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian,aap sun rahe hain na beta ghar aa gaya hoon darwaza khol do
