text,label,category,language,source,clean_text
I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,0,none,english,uci,i thk 50 shd be ok he said plus minus 10 did leave a line in between paragraphs
Just wait till end of march when el nino gets himself. Oh.,0,none,english,uci,just wait till end of march when el nino gets himself oh
I want snow. It's just freezing and windy.,0,none,english,uci,i want snow it s just freezing and windy
Lol great now im getting hungry.,0,none,english,uci,lol great now im getting hungry
This message is brought to you by GMW Ltd. and is not connected to the,1,general_spam,english,uci,this message is brought to you by gmw ltd and is not connected to the
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",0,none,english,uci,alright we ll bring it to you see you in like mins
"I'm not coming over, do whatever you want",0,none,english,uci,i m not coming over do whatever you want
Hello sir Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,hinglish,indian,hello sir aapka aadhaar deactivate hone wala hai turant update kijiye
"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",0,none,english,uci,sorry left phone upstairs ok might be hectic but would be all my birds with one fell swoop it s a date
"Inspector Rajesh Kumar bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,relative,hinglish,indian,inspector rajesh kumar bol raha hoon amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",0,none,english,uci,hmmm and imagine after you ve come home from that having to rub my feet make me dinner and help me get ready for my date are you sure your ready for that kind of life
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,general_spam,english,uci,500 new mobiles from 2004 must go txt nokia to no 89545 collect yours today from only 1 2optout 50gbp mtmsg18
Law enforcement se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,hinglish,indian,law enforcement se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,0,none,english,uci,don t look back at the building because you have no coat and i don t want you to get more sick just hurry home and wear a coat to the gym
No shoot me. I'm in the docs waiting room. :/,0,none,english,uci,no shoot me i m in the docs waiting room
"Namaste sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,aadhaar,hinglish,indian,namaste sir amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
Do you always celebrate NY's with your family ?,0,none,english,uci,do you always celebrate ny s with your family
Loosu go to hospital. De dont let it careless.,0,none,english,uci,loosu go to hospital de dont let it careless
&lt;#&gt;  am I think? Should say on syllabus,0,none,english,uci,am i think should say on syllabus
Or i go home first lar ü wait 4 me lor.. I put down my stuff first..,0,none,english,uci,or i go home first lar wait 4 me lor i put down my stuff first
Ji haan suniye Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,relative,hinglish,indian,ji haan suniye aapka aadhaar deactivate hone wala hai turant update kijiye
"Awesome, lemme know whenever you're around",0,none,english,uci,awesome lemme know whenever you re around
Really good:)dhanush rocks once again:),0,none,english,uci,really good dhanush rocks once again
Inspector Rajesh Kumar bol raha hoon. Aapke naam par registered account illegal activities mein use hua hai.,1,police_digital_arrest,hinglish,indian,inspector rajesh kumar bol raha hoon aapke naam par registered account illegal activities mein use hua hai
