text,label,category,language,source
"Hello ji Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Namaste ma'am Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,relative,hinglish,indian
"Ji namaskar Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
"Special Investigation Team se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian
"Madam ek minute Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
"Hello ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
"Delhi Police se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,hinglish,indian
Ji namaskar Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,hinglish,indian
"Ji haan suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,aadhaar,hinglish,indian
"Police headquarters se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian
"Hello sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
"Ji haan suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
Aap sun rahe hain na? Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,hinglish,indian
"Namaste ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
"Namaste sir Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
"Ji namaskar Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
"Hello ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
Hello sir Police verification complete karna zaroori hai.,1,police_digital_arrest,hinglish,indian
Hello ji Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
Dhyan se suniye Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian
CBI se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian
Ji namaskar Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian
"Hello ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Namaste ma'am Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian
"Aap sun rahe hain na? Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
"Sir ek minute suniye Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
Namaste ma'am Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,hinglish,indian
"Madam ek minute Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
"Madam ek minute Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
"Aap sun rahe hain na? Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
"Ji namaskar Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
ACP Sharma bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian
"Ji namaskar Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian
Inspector Rajesh Kumar bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,hinglish,indian
Cyber Crime Department se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,hinglish,indian
Sir ek minute suniye Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,hinglish,indian
"Namaste sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
Sir ek minute suniye Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,bank_kyc,hinglish,indian
National Cyber Cell se bol raha hoon. Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian
Hello ji Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Hello ji Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
"Ji namaskar Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
Dhyan se suniye Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,hinglish,indian
Madam ek minute Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian
Dhyan se suniye Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
Namaste sir Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Madam ek minute Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
"Sir ek minute suniye Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Madam ek minute Cyber investigation team ko aapke number se suspicious activity mili hai.,1,police_digital_arrest,hinglish,indian
Law enforcement se bol raha hoon. Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian
"Namaste ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
"Hello ji Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
Delhi Police se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,hinglish,indian
"Hello sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,lottery,hinglish,indian
"Ji namaskar School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
"Hello ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
Namaste ma'am National Cyber Cell se bol raha hoon. Verification ke liye cooperate kijiye.,1,police_digital_arrest,hinglish,indian
Madam ek minute Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,hinglish,indian
"Aap sun rahe hain na? Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
"Madam ek minute School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
Namaste ma'am Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
"Namaste ma'am School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
"Hello sir Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
"Ji haan suniye Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
Namaste sir Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Hello sir Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Dhyan se suniye Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
Ji haan suniye Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
Hello ma'am Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,hinglish,indian
Aap sun rahe hain na? Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
"Namaste sir Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
"Hello sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,hinglish,indian
Sir ek minute suniye Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,hinglish,indian
Sir ek minute suniye Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Madam ek minute Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Namaste sir Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,hinglish,indian
"Hello sir School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
"Namaste sir Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
Aap sun rahe hain na? Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian
Hello sir Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Hello ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
"Hello ma'am Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
Ji haan suniye Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian
"Madam ek minute School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
"Namaste ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
"Ji namaskar Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
Aap sun rahe hain na? Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
Hello sir Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,hinglish,indian
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,aadhaar,hinglish,indian
Namaste sir Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian
"Ji namaskar Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
Delhi Police se bol raha hoon. Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,hinglish,indian
"Aap sun rahe hain na? Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
Hello ji Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,relative,hinglish,indian
"Hello ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
"Namaste sir Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
Special Investigation Team se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,hinglish,indian
"Hello ma'am Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
Hello ji Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian
Namaste ma'am Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,hinglish,indian
Law enforcement se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian
National Cyber Cell se bol raha hoon. Aapke naam par registered account illegal activities mein use hua hai.,1,police_digital_arrest,hinglish,indian
"Ji haan suniye Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian
"Ji namaskar Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
"Special Investigation Team se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,lottery,hinglish,indian
"Dhyan se suniye Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
"Hello ji Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
"Namaste ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian
"Police headquarters se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,hinglish,indian
"Aap sun rahe hain na? Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
"Dhyan se suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,hinglish,indian
Ji haan suniye Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,hinglish,indian
Ji namaskar Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian
National Cyber Cell se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,hinglish,indian
"Aap sun rahe hain na? Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian
Delhi Police se bol raha hoon. Aapke naam par money laundering case register hua hai.,1,police_digital_arrest,hinglish,indian
National Cyber Cell se bol raha hoon. Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,hinglish,indian
"Police headquarters se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,hinglish,indian
Law enforcement se bol raha hoon. Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,hinglish,indian
Sir ek minute suniye Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
Cyber Crime Department se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,hinglish,indian
Hello ma'am Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian
"Aap sun rahe hain na? Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
Law enforcement se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,hinglish,indian
"ACP Sharma bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,relative,hinglish,indian
"Hello ji Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian
Special Investigation Team se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian
"Sir ek minute suniye School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian
Madam ek minute Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
"Namaste ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian
Madam ek minute Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian
Hello ji Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian
Dhyan se suniye Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian
Madam ek minute Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,hinglish,indian
